"","Date","AAPL","AMZN","GOOGL","JNJ","JPM","META","MSFT","NVDA","PG","XOM","TSM","AVGO","ORCL"
"1","2013-01-02",16.6,12.87,17.96,49.25,31.5,27.81,22.24,0.29,47.64,52.04,12.86,2.37,28.76
"2","2013-01-03",16.39,12.92,17.97,49.19,31.44,27.58,21.94,0.29,47.34,51.95,12.85,2.38,28.45
"3","2013-01-04",15.93,12.96,18.33,49.75,32,28.56,21.53,0.3,47.44,52.19,12.76,2.36,28.7
"4","2013-01-07",15.84,13.42,18.25,49.64,32.03,29.22,21.49,0.29,47.11,51.59,12.57,2.35,28.55
"5","2013-01-08",15.88,13.32,18.21,49.65,32.09,28.86,21.38,0.29,47.04,51.91,12.46,2.34,28.56
"6","2013-01-09",15.63,13.32,18.33,49.87,32.07,30.38,21.5,0.28,47.29,51.71,12.46,2.39,28.57
"7","2013-01-10",15.83,13.27,18.42,50.19,32.55,31.08,21.31,0.28,47.56,52.27,12.91,2.44,28.95
"8","2013-01-11",15.73,13.4,18.38,50.3,32.55,31.5,21.61,0.28,47.53,52.57,12.89,2.5,28.9
"9","2013-01-14",15.17,13.64,17.96,50.45,32.36,30.74,21.66,0.28,47.81,52.55,12.79,2.52,28.99
"10","2013-01-15",14.69,13.6,18.01,50.32,32.69,29.89,21.91,0.28,47.98,52.52,12.71,2.46,28.77
"11","2013-01-16",15.3,13.45,17.76,50.46,33.02,29.64,21.78,0.28,47.99,52.49,12.64,2.51,28.72
"12","2013-01-17",15.2,13.52,17.67,50.69,32.76,29.93,21.94,0.28,48.22,52.92,12.97,2.53,28.71
"13","2013-01-18",15.11,13.61,17.5,50.92,32.77,29.45,21.94,0.28,48.41,53.27,12.88,2.51,29.11
"14","2013-01-22",15.26,13.51,17.46,50.54,32.83,30.52,21.86,0.28,48.42,53.34,12.9,2.51,28.96
"15","2013-01-23",15.54,13.41,18.42,50.65,32.61,30.61,22.23,0.28,48.93,53.21,12.98,2.5,28.76
